Customers,zip,ciity,county,region
Prato,32256,Jacksonville,Duval,North East
Prato,32789,Winter Park,Orange,Central
Suncoast Manor Retirement,32789,Winter Park,Orange,Central
Avanti Orlando Resort,33705,Saint Petersburg,Pinellas,Central West
Pelican Isles Yacht club,32819,Orlando,Orange,Central
WDW Crystal Palace,34110,Naples,Collier,South West
WDW Crystal Palace,32830,Orlando,Orange,Central
WDW DCL Magic,32830,Orlando,Orange,Central
Ocean Reef Club,32830,Orlando,Orange,Central
WDW Yacht & Beach Club Resort,33037,Key Largo,Monroe,South East
Jupiter Hills Club Inc,32830,Orlando,Orange,Central
Solvang Gardens Lodge,33469,Jupiter,Palm Beach,South East
Hilton Orlando Bonnet Creek,32819,Orlando,Orange,Central
Golf Lodge at the Quarry ,32821,Orlando,Orange,Central
Universal Studios B-4,34120,Naples,Collier,South West
Raglan Road Irish Pub,32819,Orlando,Orange,Central
Country Club @ Woodfield,32830,Orlando,Orange,Central
Orange Blossom Hills Country Club,33496,Boca Raton,Palm Beach,South East
WDW DCL Magic,32159,Lady Lake,Lake,Central
Dunes Golf & Tennis Club,32830,Orlando,Orange,Central
Sheraton Safari,33957,Sanibel,Lee,South West
Freedom Point,32836,Orlando,Orange,Central
Epic Hotel,33159,Miami,Miami-Dade,South East
St. Regis Bal Harbour,33131,Miami,Miami-Dade,South East
WDW Epcot Norway Restaurant,33154,Miami Beach,Miami-Dade,South East
EAU Palm Beach Resort & Spa,32821,Orlando,Orange,Central
WDW Animal Kingdom Lodge,33462,Lake Worth,Palm Beach,South East
BLT Steak Betsy Hotel,32821,Orlando,Orange,Central
BLT Steak Betsy Hotel,33139,Miami Beach,Miami-Dade,South East
BLT Steak Betsy Hotel,33139,Miami Beach,Miami-Dade,South East
Universal Studios,33139,Miami Beach,Miami-Dade,South East
Streamsong Resort Lodge,32819,Orlando,Orange,Central
Avanti Orlando Resort,33834,Bowling Green,Hardee,Central
Candy Apple Cafe Chefs Garden,32819,Orlando,Orange,Central
GG S Waterfront Bar and Grill,32202,Jacksonville,Duval,North East
Raglan Road Irish Pub,33019,Hollywood,Broward,South East
Warsaw Coffee Company,32830,Orlando,Orange,Central
Wyndham Grand Jupiter,33304,Fort Lauderdale,Broward,South East
Cigar City Brew Pub,33477,Jupiter,Palm Beach,South East
Wyndham Grand Jupiter,33624,Tampa,Hillsborough,Central West
WDW DCL Dream,33477,Jupiter,Palm Beach,South East
WDW DCL Dream,32830,Orlando,Orange,Central
Avanti Orlando Resort,32830,Orlando,Orange,Central
WDW Boardwalk Resort,32819,Orlando,Orange,Central
WDW All Star Sports,32830,Orlando,Orange,Central
WDW Crystal Palace,32830,Orlando,Orange,Central
Prato,32830,Orlando,Orange,Central
Mayo Clinic Waycross Food Services,32789,Winter Park,Orange,Central
Walsdorf Astoria Golf Club,32789,Winter Park,Orange,Central
WDW Crystal Palace,32821,Orlando,Orange,Central
W South Beach Hotel,32830,Orlando,Orange,Central
Epic Hotel,33139,Miami Beach,Miami-Dade,South East
WDW Crystal Palace,33131,Miami,Miami-Dade,South East
Country Club @ Woodfield,32830,Orlando,Orange,Central
Edward Don,33496,Boca Raton,Palm Beach,South East
Freedom Point,33496,Boca Raton,Palm Beach,South East
WDW Yacht & Beach Club Resort,32159,Lady Lake,Lake,Central
Edward Don,32830,Orlando,Orange,Central
The Foxy Brown,32830,Orlando,Orange,Central
Edward Don,33301,Fort Lauderdale,Broward,South East
Ocean Reef Club,33301,Fort Lauderdale,Broward,South East
WDW Yacht & Beach Club Resort,33037,Key Largo,Monroe,South East
Mease Hospital Dunedin,32830,Orlando,Orange,Central
Edward Don,34698,Dunedin,Pinellas,Central West
Casa D'Angelo Boca,34698,Dunedin,Pinellas,Central West
Holiday Inn,33432,Boca Raton,Palm Beach,South East
The Club at Boca Pointe,33432,Boca Raton,Palm Beach,South East
Palma Ceia Golf Club,33433,Boca Raton,Palm Beach,South East
W South Beach Hotel,33629,Tampa,Hillsborough,Central West
Palma Ceia Golf Club,33139,Miami Beach,Miami-Dade,South East
Wildcat Run Golf and CC Assoc.,33629,Tampa,Hillsborough,Central West
St. Andrews Club,33928,Estero,Lee,South West
Birchwood Inn,33438,Canal Point,Palm Beach,South East
Miami Beach Convention Center,33701,Saint Petersburg,Pinellas,Central West
WDW Grand Floridian ,33139,Miami Beach,Miami-Dade,South East
WDW Boardwalk Resort,32830,Orlando,Orange,Central
WDW Crystal Palace,32830,Orlando,Orange,Central
GG S Waterfront Bar and Grill,32830,Orlando,Orange,Central
Orchid Island Golf Beach Club,33019,Hollywood,Broward,South East
Thistle Lodge TPL,32963,Vero Beach,Indian River,Central East
WDW Crystal Palace,33957,Sanibel,Lee,South West
Edward Don,32830,Orlando,Orange,Central
Point Orlando Resort,32963,Vero Beach,Indian River,Central East
Floridays Orlando Resort,32819,Orlando,Orange,Central
Station House St. Petersburg,32821,Orlando,Orange,Central
Tamarind Cove Hotel,33701,Saint Petersburg,Pinellas,Central West
Edward Don,33701,Saint Petersburg,Pinellas,Central West
Palma Ceia Golf Club,33701,Saint Petersburg,Pinellas,Central West
Avanti Orlando Resort,33629,Tampa,Hillsborough,Central West
Raglan Road Irish Pub,32819,Orlando,Orange,Central
WDW DCL Dream,32830,Orlando,Orange,Central
Cigar City Brew Pub,32830,Orlando,Orange,Central
San Luis Creek Lodge,33624,Tampa,Hillsborough,Central West
Life Care of Orlando,32819,Orlando,Orange,Central
Timuquana Country Club,32817,Orlando,Orange,Central
Epic Hotel,32210,Jacksonville,Duval,North East
Tom Weadock III,33131,Miami,Miami-Dade,South East
Station House St. Petersburg,32819,Orlando,Orange,Central
Hard Rock Cafe and Restaurant,33701,Saint Petersburg,Pinellas,Central West
Edward Don,32819,Orlando,Orange,Central
Edward Don,32819,Orlando,Orange,Central
Hilton Orlando Bonnet Creek,32819,Orlando,Orange,Central
Colony Hotel,32821,Orlando,Orange,Central
Culinary Convenience,33480,Palm Beach,Palm Beach,South East
PGA National Resort,33316,Fort Lauderdale,Broward,South East
BLT Steak Betsy Hotel,33418,Palm Beach Gardens,Palm Beach,South East
Market 17,33139,Miami Beach,Miami-Dade,South East
WDW Crystal Palace,33316,Fort Lauderdale,Broward,South East
Royal Poinciana Club,32830,Orlando,Orange,Central
WDW DCL Wonder,34105,Naples,Collier,South West
W South Beach Hotel,32830,Orlando,Orange,Central
Atalntic Distributors Inc,33139,Miami Beach,Miami-Dade,South East
General Hotel,32254,Jacksonville,Duval,North East
Tomson Hospitality,33016,Hialeah,Miami-Dade,South East
Winsor Club Inc,33122,Miami,Miami-Dade,South East
Shore Diner,32963,Vero Beach,Indian River,Central East
Sheraton Safair,34236,Sarasota,Sarasota,Central West
American Food Equipment,32836,Orlando,Orange,Central
Casa Marina,33136,Miami,Miami-Dade,South East
Dolphin Hotel Assoc.,33040,Key West,Monroe,South East
WDW Yacht & Beach Club Resort,32830,Orlando,Orange,Central
WDW Yacht & Beach Club Resort,32830,Orlando,Orange,Central
Indigenous,32830,Orlando,Orange,Central
The Breakers Hotel,34236,Sarasota,Sarasota,Central West
Trump Natl Gold Club Jupiter,33480,Palm Beach,Palm Beach,South East
WDW Hollywood Studios Backlot,33477,Jupiter,Palm Beach,South East
Tampa Distribution,32802,Orlando,Orange,Central
Spoto's Oyster Bar Stuart,33634,Tampa,Hillsborough,Central West
The Wasserstrom,34994,Stuart,Martin,South East
The Wasserstrom,32219,Jacksonville,Duval,North East
Umi Francois Lorin,33139,Miami Beach,Miami-Dade,South East
Wall St Cantina,32789,Winter Park,Orange,Central
Brasserie Central,32801,Orlando,Orange,Central
Glenmoor-Life Cafe St. Johns D.I.P.,33146,Miami,Miami-Dade,South East
Walt Disney World Swan,32092,Saint Augustine,St Johns,North East
Breakers Hotel,32830,Orlando,Orange,Central
Sevinch Hospitality,33480,Palm Beach,Palm Beach,South East
Casa Monica Hotel,33901,Fort Myers,Lee,South West
N Fla Regional Hops,32084,Saint Augustine,St Johns,North East
Saddlebrook Resorts Inc,32605,Gainesville,Alachua,North Central
WDW Animal Kingdom Lodge,33543,Wesley Chapel,Pasco,Central West
Plymouth Harbor,32830,Orlando,Orange,Central
Lago Mar Hotel,34236,Sarasota,Sarasota,Central West
WDW Animal Kingdom Lodge,33316,Fort Lauderdale,Broward,South East
S-3,32830,Orlando,Orange,Central
Coconuts Bahama Grill LLC,33304,Fort Lauderdale,Broward,South East
Creme de la Cocoa,33316,Fort Lauderdale,Broward,South East
Wa Boca Raton Beach Club,32084,Saint Augustine,St Johns,North East
Bavaria Haus,33431,Boca Raton,Palm Beach,South East
Longboat Key Club,33132,Miami,Miami-Dade,South East
Breakers Hotel,34228,Longboat Key,Sarasota,Central West
Westin-Key West,33480,Palm Beach,Palm Beach,South East
General Hotel,33040,Key West,Monroe,South East
Delano Hotel,33016,Hialeah,Miami-Dade,South East
National Marine Suppliers,33139,Miami Beach,Miami-Dade,South East
Atalntic Distributors Inc,33315,Fort Lauderdale,Broward,South East
Doubletree Resort Orlando,32254,Jacksonville,Duval,North East
"Creative Breakfast Concepts, Inc",32821,Orlando,Orange,Central
Sheraton Suites Plantation,32763,Orange City,Volusia,Central East
Key West Marriott,33324,Fort Lauderdale,Broward,South East
Sarasota Yacht Club,33040,Key West,Monroe,South East
Thomas Murphy-The Beach Bistro ,34236,Sarasota,Sarasota,Central West
Bonita Bay Trianon Hotel,34217,Bradenton Beach,Manatee,Central West
Mayflower Retirement Center,34134,Bonita Springs,Lee,South West
Town Kitchen Bar,32792,Winter Park,Orange,Central
Biscottis Expresso Cafe,33143,Miami,Miami-Dade,South East
WDW Animal Kingdom Lodge,32205,Jacksonville,Duval,North East
Tavolinos Restaurante,32830,Orlando,Orange,Central
Seminole Blue Plate,33065,Pompano Beach,Broward,South East
Seminole Pastry K Chench,33314,Fort Lauderdale,Broward,South East
The Breakers Hotel,33314,Fort Lauderdale,Broward,South East
Caffe Italia,33480,Palm Beach,Palm Beach,South East
Caffe Italia,33134,Miami,Miami-Dade,South East
Kestrel Liner Agencies,33134,Miami,Miami-Dade,South East
The Perfect Caper KD G,33178,Miami,Miami-Dade,South East
Improv City Place,33950,Punta Gorda,Charlotte,South West
Culinary Convenience,33401,West Palm Beach,Palm Beach,South East
Seminole Blue Plate,33316,Fort Lauderdale,Broward,South East
Cafe Tu Tu Tango,33314,Fort Lauderdale,Broward,South East
Sierra Land Group Inc/ Caribe Royale Resort,32819,Orlando,Orange,Central
Guppy's On The Beach,32821,Orlando,Orange,Central
General Hotel,33785,Indian Rocks Beach,Pinellas,Central West
The Addison,33016,Hialeah,Miami-Dade,South East
Walt Disney World Swan,33432,Boca Raton,Palm Beach,South East
Hobnob,32830,Orlando,Orange,Central
Dolphin Hotel Assoc.,34102,Naples,Collier,South West
Dolphin Hotel Assoc.,32830,Orlando,Orange,Central
Dolphin Hotel Assoc.,32830,Orlando,Orange,Central
Dolphin Hotel Assoc.,32830,Orlando,Orange,Central
Wall St Cantina,32830,Orlando,Orange,Central
Brasserie Central,32801,Orlando,Orange,Central
Breakers Hotel,33146,Miami,Miami-Dade,South East
Hilton Singer Island Resort,33480,Palm Beach,Palm Beach,South East
Diplomat Resort & Spa,33404,West Palm Beach,Palm Beach,South East
Buddah Sky Bar,33019,Hollywood,Broward,South East
WDW Contemporary Resort F B,33444,Delray Beach,Palm Beach,South East
Worthington Country Club,32830,Orlando,Orange,Central
S-3,34135,Bonita Springs,Lee,South West
Buffalo Crossing,33304,Fort Lauderdale,Broward,South East
Nova Southeastern University C,32162,The Villages,Sumter,Central
Nova Southeastern University C,33314,Fort Lauderdale,Broward,South East
Tomson Hospitality,33314,Fort Lauderdale,Broward,South East
